67 73 63 59 61 56 57 52 57 59 32 0 
75 73 76 70 73 76 68 82 80 83 76 19 
70 76 70 84 86 83 79 80 75 77 80 20 
88 94 92 89 88 97 85 92 94 99 22 44 
63 67 65 62 70 65 60 59 69 62 16 16 
80 80 79 80 83 81 74 76 73 77 80 40 
81 77 94 94 87 78 94 82 93 100 132 44 
95 99 84 111 93 102 94 98 101 99 125 75 
89 93 77 97 90 88 95 92 97 79 138 23 
25 23 24 31 30 30 31 35 26 32 35 14 
58 54 54 65 63 67 52 61 54 59 60 30 
55 57 71 66 72 59 62 68 63 61 48 48 
103 111 101 120 105 93 94 107 112 100 78 52 
96 102 96 100 100 110 104 95 84 99 50 75 
117 105 121 118 109 121 98 95 120 103 84 84 
84 84 84 90 83 87 84 90 87 91 110 88 
90 78 82 90 85 81 96 93 87 81 105 21 
50 50 46 47 43 50 57 46 49 53 48 24 
81 83 78 81 80 70 61 74 77 76 114 38 
68 70 86 68 66 75 77 61 70 73 90 54 
95 99 88 85 75 90 92 95 88 90 88 44 
54 56 59 48 51 51 43 62 54 50 52 39 
80 74 74 83 74 77 82 78 73 72 133 57 
75 75 72 65 77 78 56 75 67 81 72 72 
71 79 74 73 77 79 82 81 73 77 54 36 
87 81 75 87 83 86 87 96 84 87 44 66 
80 86 89 78 75 74 87 73 75 90 80 60 
110 126 112 116 99 115 109 99 104 108 196 112 
105 95 107 97 99 117 92 94 102 105 125 75 
79 71 71 76 80 69 73 68 75 78 57 76 
84 80 83 85 67 74 76 76 75 80 57 76 
88 92 111 112 108 102 105 109 105 102 75 125 
57 51 55 56 52 53 58 56 56 44 84 14 
105 107 125 111 110 113 101 119 108 98 81 54 
54 50 47 42 47 52 52 61 54 54 52 26 
76 72 60 78 72 75 77 79 74 81 114 57 
50 54 45 55 53 49 54 52 57 54 56 28 
110 116 102 101 108 95 124 104 114 100 78 78 
87 81 74 66 78 77 90 70 79 78 57 57 
83 83 78 81 82 77 84 81 77 78 80 80 
99 97 96 90 87 96 106 102 88 79 72 48 
122 112 117 110 119 120 115 122 117 111 58 87 
48 54 49 48 48 47 53 48 58 46 48 36 
116 98 107 109 111 115 110 121 116 112 140 112 
85 85 71 71 80 70 90 79 73 87 57 57 
51 55 54 56 59 55 63 58 47 60 70 56 
99 95 74 91 98 81 98 81 93 103 69 92 
90 98 115 98 91 105 90 98 97 106 150 125 
33 33 28 26 24 37 35 35 30 32 32 16 
85 81 80 77 70 74 72 74 71 76 72 54 
92 86 100 93 95 104 96 104 88 90 92 69 
88 92 95 98 91 92 88 92 76 99 44 88 
88 100 92 75 94 93 88 88 93 93 46 69 
79 79 74 81 71 85 71 78 71 85 80 80 
68 66 60 67 62 79 63 62 63 57 96 64 
87 75 95 86 85 83 72 71 81 74 40 100 
68 68 65 74 62 78 73 87 81 74 72 54 
102 112 108 104 112 114 109 123 109 114 108 108 
71 63 66 70 70 68 61 69 66 71 102 68 
86 84 82 75 96 78 84 87 80 73 20 100 
95 105 108 93 88 96 98 81 87 94 138 92 
90 90 77 97 99 88 92 92 96 89 110 110 
92 90 84 78 74 96 100 103 91 82 66 110 
40 42 48 42 39 45 42 36 39 40 55 66 
87 89 77 85 75 90 85 81 78 83 105 21 
71 77 80 84 68 67 74 76 84 83 95 38 
97 91 92 77 94 85 89 82 92 90 115 46 
69 69 76 68 69 71 65 75 64 63 102 51 
90 90 88 86 95 93 88 105 88 81 92 46 
38 44 57 41 53 49 49 57 55 52 52 39 
67 65 61 69 72 73 71 60 58 55 85 51 
63 65 60 67 70 66 67 59 62 58 80 64 
78 92 79 74 81 70 86 87 87 86 60 40 
115 109 96 90 104 97 99 111 83 107 104 78 
50 48 56 59 54 59 66 60 64 63 30 45 
88 80 80 76 85 78 80 75 81 69 38 76 
77 67 62 59 65 69 76 74 61 61 85 51 
56 62 52 52 51 46 63 52 57 58 70 56 
96 98 87 89 88 90 84 104 92 100 115 92 
96 78 99 97 80 84 88 88 82 93 115 115 
62 56 49 60 45 51 57 61 57 56 84 28 
85 79 94 66 79 88 75 80 82 86 84 63 
99 105 103 107 111 104 108 92 105 108 108 81 
101 97 93 99 81 90 97 85 91 90 115 92 
72 70 71 67 62 68 68 69 67 68 80 48 
66 70 66 67 72 65 69 65 70 67 48 64 
90 92 88 89 83 90 87 85 83 98 110 88 
92 88 83 82 88 91 82 91 75 86 147 105 
74 80 79 84 74 71 81 80 75 61 80 60 
75 79 69 68 79 81 70 70 79 73 76 76 
70 76 81 81 86 71 85 76 77 81 38 76 
73 75 81 69 79 73 81 71 75 84 76 95 
73 87 94 89 92 91 90 88 88 79 110 88 
105 113 116 99 122 103 104 122 111 112 168 140 
79 85 85 72 78 78 79 64 85 78 60 100 
73 71 77 72 60 75 68 67 75 72 72 108 
53 67 69 74 76 64 72 67 73 76 108 36 
83 91 85 93 87 75 87 81 84 89 132 66 
69 73 66 75 63 64 58 78 71 71 51 51 
74 68 89 95 85 82 88 74 79 88 63 84 
54 60 45 49 54 45 39 55 43 51 26 39 
82 90 86 85 66 66 82 78 76 88 84 84 
101 97 106 93 104 97 102 103 113 93 100 100 
92 106 104 109 102 89 118 113 89 93 156 130 
117 117 117 114 109 105 94 103 107 104 135 81 
58 56 51 47 49 57 51 45 56 50 52 52 
72 76 87 77 75 78 79 83 77 86 80 80 
90 98 98 100 100 91 94 95 99 101 75 125 
87 73 79 73 61 78 74 79 71 75 57 76 
109 109 112 105 113 108 108 113 111 114 112 140 
85 83 87 89 92 85 97 92 88 77 66 110 
69 65 62 67 64 75 66 64 71 67 64 96 
38 42 37 42 33 36 49 44 47 41 60 30 
73 77 77 71 75 67 78 75 88 71 76 76 
60 64 54 57 58 68 63 58 47 66 105 60 
55 41 54 58 57 60 50 54 49 57 28 70 
64 62 56 52 58 59 56 54 63 49 75 60 
94 88 87 85 89 95 92 99 81 95 96 120 
80 76 64 73 75 73 74 75 61 61 90 90 
93 97 94 88 93 88 94 98 96 103 96 144 
69 65 63 69 64 71 66 70 60 66 68 68 
86 86 77 84 69 78 83 72 79 73 114 95 
54 60 71 58 69 62 64 60 69 57 60 75 
77 77 79 78 76 81 92 76 89 81 100 120 
61 63 64 71 70 66 58 61 69 55 64 80 
87 79 71 79 85 69 72 71 82 90 76 114 
76 88 82 76 83 91 81 76 69 73 20 120 
67 69 81 86 73 75 75 74 85 81 95 133 
51 51 64 55 56 67 69 58 65 56 48 16 
54 64 59 69 60 60 62 63 58 59 64 32 
77 89 81 75 85 75 85 92 70 84 80 40 
73 77 65 68 54 71 61 66 70 73 72 54 
72 78 69 84 75 85 72 81 83 79 76 38 
64 58 68 57 65 58 67 67 59 69 80 48 
51 57 51 42 44 54 46 49 48 43 36 36 
83 81 88 78 79 82 88 77 86 94 100 80 
113 115 117 102 100 102 113 108 108 119 140 56 
107 121 127 124 125 123 108 135 120 114 120 90 
83 83 86 76 87 94 82 86 87 81 66 66 
52 48 55 58 46 51 52 44 50 49 78 52 
101 91 85 103 96 96 97 100 90 98 75 75 
85 79 71 74 66 71 83 78 70 72 57 76 
105 115 107 125 119 115 101 106 130 119 87 116 
71 71 69 70 66 73 67 68 64 64 54 90 
82 78 85 76 67 65 82 79 67 82 57 38 
74 74 75 69 68 65 64 70 68 61 85 51 
76 72 92 75 90 77 82 88 89 92 105 63 
59 77 82 67 68 75 66 72 78 81 54 72 
78 82 81 84 77 70 79 82 87 83 76 57 
72 66 67 76 69 68 71 63 67 73 85 68 
47 51 39 41 44 41 43 42 42 37 22 44 
111 115 116 110 88 98 107 105 99 98 130 130 
71 77 81 80 73 76 71 88 61 80 54 54 
104 104 111 115 108 101 114 124 106 103 108 108 
72 80 70 77 74 79 67 69 75 72 36 72 
56 58 71 50 44 49 57 49 60 54 26 65 
84 80 83 80 81 75 94 78 71 85 126 84 
73 67 68 65 67 59 65 60 65 72 112 80 
71 89 82 78 81 78 70 78 95 81 100 100 
92 88 87 92 80 89 92 78 94 101 110 132 
75 61 68 74 77 82 59 70 63 69 72 36 
75 83 83 90 82 75 83 88 90 80 140 60 
80 82 78 72 82 75 80 73 74 80 40 60 
67 75 70 72 69 75 66 68 73 78 51 68 
44 48 46 51 49 58 55 56 50 50 60 36 
59 65 68 61 66 66 68 61 50 73 64 64 
57 51 54 41 50 55 48 55 51 57 26 52 
71 73 69 67 68 63 74 60 71 71 51 85 
112 110 99 105 100 110 107 102 105 99 104 78 
108 106 106 106 115 105 120 120 98 112 54 108 
92 102 101 95 87 96 106 79 99 106 0 96 
28 28 33 27 28 35 34 27 38 36 40 40 
70 70 64 68 77 64 69 69 67 62 85 68 
72 72 64 72 72 52 68 70 63 60 51 85 
76 78 78 93 73 77 80 74 80 84 38 95 
61 59 71 59 59 51 58 64 52 67 75 90 
66 68 72 72 76 60 66 64 70 71 108 54 
63 71 60 62 59 63 71 64 55 60 48 64 
88 96 95 102 99 95 100 95 103 108 48 96 
100 94 102 93 93 109 86 85 96 85 144 120 
73 69 71 69 74 62 80 88 74 73 54 72 
60 72 68 82 66 69 74 82 72 68 18 90 
112 102 84 104 99 94 109 103 105 96 125 125 
65 65 59 54 63 66 53 59 45 62 45 90 
53 55 47 61 49 51 46 53 50 49 39 52 
87 93 79 77 86 88 74 79 72 80 60 100 
95 105 92 99 98 101 100 97 103 86 125 125 
72 64 70 74 69 66 70 64 65 73 68 102 
94 94 94 91 92 95 103 102 81 97 144 120 
75 87 101 91 93 89 97 89 77 86 92 138 
69 71 60 69 58 72 68 76 62 75 17 102 
89 87 91 105 90 91 97 90 98 103 96 168 
92 94 84 83 87 79 92 97 80 90 22 44 
98 82 81 73 75 95 90 83 99 94 154 66 
82 70 91 75 62 81 85 72 66 75 95 57 
85 91 108 92 99 90 111 88 87 82 92 92 
80 76 85 82 79 87 67 81 80 77 120 60 
88 96 106 96 87 89 96 102 84 95 46 92 
87 81 95 92 88 91 93 86 95 89 154 88 
97 85 84 80 85 89 93 93 76 93 132 110 
132 134 117 119 116 125 111 110 128 120 62 93 
66 60 64 58 65 54 64 63 69 60 48 64 
108 114 98 98 105 103 94 103 100 99 130 104 
121 115 110 112 115 115 110 112 118 105 112 140 
60 50 59 51 52 47 45 64 50 49 56 56 
85 87 81 84 80 83 88 91 88 89 42 105 
51 55 52 51 56 50 51 53 56 54 42 70 
89 95 105 89 86 100 93 103 101 106 96 144 
78 80 84 82 73 70 73 69 69 70 76 57 
86 88 74 71 81 91 77 82 78 76 60 80 
98 96 88 95 86 104 93 96 89 83 46 92 
76 74 72 68 76 73 61 74 66 71 54 90 
90 80 86 102 83 92 88 100 93 86 132 88 
57 61 68 50 74 68 55 61 68 74 48 80 
86 88 94 85 97 98 89 80 92 100 115 115 
56 48 54 59 53 47 49 50 55 45 65 78 
90 90 84 103 107 92 92 82 104 100 120 96 
72 76 72 70 69 76 74 88 77 74 90 90 
69 61 85 77 78 70 86 83 62 77 38 95 
86 88 98 87 84 93 94 85 82 93 88 132 
86 96 98 92 92 100 94 84 97 89 115 115 
59 57 61 65 68 68 57 58 64 51 80 96 
108 100 117 110 92 127 114 124 113 100 108 162 
73 67 78 76 85 70 75 69 79 71 144 126 
65 73 69 71 89 69 76 83 66 71 57 57 
97 91 85 86 77 89 83 76 94 87 132 88 
63 69 63 60 56 60 53 64 58 58 45 60 
